Kebangsaan,,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan (Kunjungan),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Brunei Darussalam,603,831,928,740,894,969,1151,1795,924,902,1106,2675,13518
Malaysia,140071,150078,152447,147248,169185,168759,154967,174788,152210,138597,141746,211146,1901242
Philippines,14722,13402,14964,15858,16911,19091,20868,19265,18237,17554,18299,20287,209458
Singapore,107735,84358,124340,97280,100729,174443,109847,105456,114713,89770,118005,187771,1414447
Thailand,7768,7823,9411,7320,8798,8913,12368,10567,9228,10540,9228,9822,111786
Vietnam,8769,8810,10399,9874,9719,12842,14278,12808,9368,7837,8077,9098,121879
Laos,173,218,231,211,317,213,334,495,310,368,322,204,3396
Kamboja,772,937,844,925,1382,1038,1271,1083,1056,1065,1410,828,12611
Myanmar/Burma,4255,2156,2651,3867,2660,3714,3137,3531,3614,3120,3408,4807,40920
Indonesia,38670,25344,31522,38683,29708,32710,34472,37142,32324,36113,37255,45550,419493
A S E A N,323538,293957,347737,322006,340303,422692,352693,366930,341984,305866,338856,492188,4248750
Hong Kong,1474,913,1079,1050,1129,1170,1258,1296,1098,1120,786,1512,13885
India,34363,37938,40989,48747,62680,68853,54906,48472,50773,49132,47667,61919,606439
Japan,12256,15841,17016,13090,18368,17850,23299,34878,29611,23157,22940,23560,251866
South Korea,27405,24817,21512,18436,26271,27036,38225,36342,36069,31018,29216,30838,347185
Pakistan,893,957,1080,624,1034,1188,1276,1399,1317,1314,1325,1857,14264
Bangladesh,583,666,720,699,883,823,857,767,912,770,742,951,9373
Srilanka,405,410,518,490,550,507,779,649,839,594,750,902,7393
Taiwan,13601,8295,10225,9725,11246,15221,16709,16147,14698,15380,13026,10877,155150
China,30036,36434,54549,55090,64056,62499,84955,85198,88758,75326,75486,75537,787924
Other Asia,74973,59776,67480,64988,65448,58928,61822,70044,62682,64068,67340,71635,789184
Afganistan,23,6,15,5,12,17,21,32,29,33,28,57,278
Bhutan,34,160,44,37,48,18,45,51,39,44,47,27,594
British Indian Ocean Teritory,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,734,557,513,506,630,662,771,664,601,624,734,1202,8198
Kirgistan,105,79,54,47,51,62,76,54,70,58,52,129,837
Korea Utara,0,0,0,0,0,1,1,3,3,3,0,1,12
Macao,145,104,239,229,271,279,503,438,73,116,403,363,3163
Mongolia,162,151,71,162,356,146,166,114,99,170,189,537,2323
Maladewa,173,196,161,79,315,258,481,242,206,271,247,250,2879
Nepal,259,445,362,349,512,485,555,608,578,742,497,505,5897
Stateless,0,1,1,0,2,1,3,0,0,2,4,2,16
Tajikhistan,37,31,24,10,14,11,39,61,18,23,46,45,359
Tibet,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor Leste,70414,55948,63596,61077,60508,52719,55991,64285,57560,58891,62139,65458,728586
Turki,2323,1673,2093,2278,2339,3713,2448,2719,3041,2681,2650,2475,30433
Turkmenistan,9,21,18,6,16,16,26,21,80,21,23,24,281
Uzbekistan,546,396,282,202,371,540,695,750,283,385,278,555,5283
Lain-lain,9,8,7,1,3,0,1,2,2,4,3,5,45
TOTAL ASIA (Excl.ASEAN),195989,186047,215168,212939,251665,254075,284086,295192,286757,261879,259278,279588,2982663
Saudi Arabia,5867,5591,4462,4434,8483,12306,16430,11591,8781,8327,12900,8512,107684
Bahrain,68,97,79,83,167,200,199,283,147,178,179,145,1825
Kuwait,392,251,155,194,313,521,596,1077,429,298,220,246,4692
Egypt,737,920,735,939,1629,1597,1563,1770,1780,1924,1497,1741,16832
Uni Emirat Arab,504,536,557,549,728,1062,1235,864,594,562,522,824,8537
Yaman,362,295,278,272,401,747,601,779,556,499,647,499,5936
Qatar,95,139,140,121,115,289,358,245,113,118,106,122,1961
Other Middle East,1874,1879,2961,1603,2436,3469,4605,3729,3523,2832,2430,2750,34091
Irak,174,185,121,112,179,245,305,281,293,366,267,292,2820
Iran,234,300,1683,452,439,550,395,518,1079,511,438,578,7177
Israel,68,50,66,46,86,284,179,286,199,103,15,17,1399
Jordan,371,336,321,331,505,558,844,706,620,509,428,611,6140
Libanon,129,135,164,234,230,442,512,477,308,281,208,305,3425
Oman,660,670,292,216,720,1003,1946,1001,600,776,773,658,9315
Palestina,121,73,189,101,147,217,241,226,241,145,136,130,1967
Syiria,117,130,125,111,130,170,183,234,183,141,165,159,1848
